date,description
1/1/08,New Year Day
1/21/08,"Birthday of Martin Luther King, Jr."
2/18/08,Washington�s Birthday
5/26/08,Memorial Day
7/4/08,Independence Day
9/1/08,Labor Day
11/11/08,Veterans Day
11/27/08,Thanksgiving Day
12/25/08,Christmas Day
12/26/08,Christmas Day
1/1/16,New Year�s Day
1/18/16,"Birthday of Martin Luther King, Jr."
2/15/16,Washington�s Birthday
5/30/16,Memorial Day
7/4/16,Independence Day
9/5/16,Labor Day
11/11/16,Veterans Day
11/24/16,Thanksgiving Day
12/25/16,Christmas Day
12/26/16,Christmas Day
1/2/17,New Year�s Day
1/16/17,"Birthday of Martin Luther King, Jr."
2/20/17,Washington�s Birthday
5/29/17,Memorial Day
7/4/17,Independence Day
9/4/17,Labor Day
10/9/17,Columbus Day
11/10/17,Veterans Day
11/23/17,Thanksgiving Day
12/25/17,Christmas Day
1/1/18,New Year�s Day
1/15/18,"Birthday of Martin Luther King, Jr."
2/19/18,Washington�s Birthday
5/28/18,Memorial Day
7/4/18,Independence Day
9/3/18,Labor Day
10/8/18,Columbus Day
11/12/18,Veterans Day
11/22/18,Thanksgiving Day
12/25/18,Christmas Day
1/1/19,New Year�s Day
1/21/19,"Birthday of Martin Luther King, Jr."
2/18/19,Washington�s Birthday
5/27/19,Memorial Day
7/4/19,Independence Day
9/2/19,Labor Day
10/14/19,Columbus Day
11/11/19,Veterans Day
11/28/19,Thanksgiving Day
12/25/19,Christmas Day
1/1/20,New Year�s Day
1/20/20,"Birthday of Martin Luther King, Jr."
2/17/20,Washington�s Birthday
5/25/20,Memorial Day
7/3/20,Independence Day
9/7/20,Labor Day
10/12/20,Columbus Day
11/11/20,Veterans Day
11/26/20,Thanksgiving Day
12/25/20,Christmas Day